country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","01-05-2025 14:00:00",15.459706,75.008381,PM2.5,47,79,59
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","01-05-2025 14:00:00",15.459706,75.008381,PM10,59,99,73
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","01-05-2025 14:00:00",15.3714823,75.1160168,PM2.5,38,41,40
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","01-05-2025 14:00:00",15.3714823,75.1160168,NH3,1,3,3
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","01-05-2025 14:00:00",15.3714823,75.1160168,CO,8,18,14
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","01-05-2025 14:00:00",15.347630,76.181767,NO2,NA,NA,NA
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","01-05-2025 14:00:00",15.347630,76.181767,NH3,NA,NA,NA
India,Gujarat,Surat,"Science Center, Surat - SMC","01-05-2025 14:00:00",21.170046,72.795405,SO2,40,42,41
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","01-05-2025 14:00:00",20.362421,72.918013,PM2.5,23,61,35
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","01-05-2025 14:00:00",20.362421,72.918013,NH3,10,10,10
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","01-05-2025 14:00:00",22.969611,72.643500,PM10,64,101,90
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","01-05-2025 14:00:00",28.3153,76.9143,NH3,8,12,10
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","01-05-2025 14:00:00",30.943887,76.801991,PM10,118,250,159
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","01-05-2025 14:00:00",12.7816279,77.6299145,NH3,6,6,6
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","01-05-2025 14:00:00",12.7816279,77.6299145,OZONE,32,33,32
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","01-05-2025 14:00:00",13.003872,77.664217,OZONE,28,29,29
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","01-05-2025 14:00:00",13.0270199,77.494094,OZONE,24,28,27
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","01-05-2025 14:00:00",12.921418,77.502466,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","01-05-2025 14:00:00",13.0246342,77.5080115,PM10,17,470,75
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","01-05-2025 14:00:00",13.0246342,77.5080115,NO2,8,11,8
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","01-05-2025 14:00:00",13.0246342,77.5080115,SO2,1,10,7
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","01-05-2025 14:00:00",10.532400,76.215900,PM2.5,48,60,55
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","01-05-2025 14:00:00",10.532400,76.215900,PM10,58,66,61
